pincode,state,district,district_tamil,taluk,taluk_count,district_ambiguous,post_office,lat,lon
621105,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Manachanallur,2,no,Irungalur S.O,10.9400,78.7614
621106,TN,Perambalur,பெரம்பலூர்,Lalgudi,1,yes,Kolakkanatham S.O,11.1100,78.9800
621107,TN,Perambalur,பெரம்பலூர்,Perambalur,1,no,Kurumbalur S.O,11.2600,78.8000
621108,TN,Perambalur,பெரம்பலூர்,Kunnam,1,no,Labbaikudikadu S.O,11.4000,79.1000
621109,TN,Perambalur,பெரம்பலூர்,Alathur,3,yes,Padalur S.O,11.1500,78.8700
621110,TN,Perambalur,பெரம்பலூர்,Gangavalli,4,yes,Poolambadi S.O,11.4000,78.7400
621111,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Lalgudi,1,no,Purathakudi S.O,10.9300,78.7800
621112,TN,Tiruchirappalli,திருச்சிராப்பள்ளி,Lalgudi,2,no,Samayapuram S.O,10.9000,78.7300
621113,TN,Perambalur,பெரம்பலூர்,Perambalur,2,no,Siruvachur S.O,11.1600,78.9000
621114,TN,Perambalur,பெரம்பலூர்,Thuraiyur,2,yes,T.Kalathur S.O,11.0900,78.7200
621115,TN,Perambalur,பெரம்பலூர்,Veppanthattai,3,no,Valikondapuram S.O,11.2800,79.0100
621116,TN,Perambalur,பெரம்பலூர்,Veppanthattai,2,no,Veppanthattai S.O,11.3800,78.7900
621117,TN,Perambalur,பெரம்பலூர்,Veppanthattai,1,no,V.Kalathur S.O,11.4600,78.8400
621118,TN,Perambalur,பெரம்பலூர்,Alathur,2,yes,Nakkasalem S.O,11.1600,78.6900
621119,TN,Perambalur,பெரம்பலூர்,Veppanthattai,1,no,Kaikalathur S.O,11.4800,78.8600
621133,TN,Perambalur,பெரம்பலூர்,Veppanthattai,1,no,Eraiyur S.O (Perambalur),11.2366,78.8619
